pendapatan_bulanan,usia,jumlah_tanggungan,skor_kredit_lama,cicilan_lancar,status_rumah,plafon_kredit,tenor_bulan,target_default
38055276,37,1,775,1,1,206000000,24,0
18713642,21,2,591,1,0,66000000,36,0
42787171,59,2,609,1,2,344000000,60,0
21409209,56,3,766,1,2,419000000,36,0
29280417,29,1,749,0,0,441000000,12,1
10733308,45,2,430,0,2,100000000,24,1
12004644,37,1,796,0,1,362000000,36,1
44601684,37,4,673,1,0,126000000,12,0
27374842,46,0,837,0,1,384000000,12,1
26387092,42,1,690,0,0,460000000,12,1
28370439,43,4,522,1,2,349000000,24,1
19843366,37,2,487,1,2,311000000,36,1
28841846,43,3,338,1,0,169000000,60,0
17949772,38,0,315,1,1,187000000,36,1
27242589,33,4,573,1,2,305000000,48,0
47746736,49,4,571,1,2,105000000,24,0
38414014,59,3,688,1,0,479000000,60,0
28722525,24,1,592,0,0,156000000,12,1
7317048,44,3,439,1,0,161000000,60,1
20687991,44,2,361,1,0,284000000,36,1
44664348,30,2,525,1,0,268000000,24,0
30381509,25,4,353,1,0,83000000,36,0
43400624,55,1,361,1,2,287000000,36,0
24765239,45,0,656,0,0,74000000,36,0
37045468,29,2,631,0,2,134000000,12,1
41060986,54,3,337,0,0,214000000,24,1
41641700,33,3,413,1,1,401000000,36,1
20434167,54,2,588,1,2,148000000,48,0
37012730,33,2,644,1,2,322000000,48,0
28214698,51,1,693,1,0,149000000,24,0
20219277,33,4,823,0,0,333000000,12,1
30783527,51,1,747,1,2,19000000,36,0
46020873,52,1,711,1,1,20000000,60,0
11067987,52,3,541,1,0,95000000,12,1
12161408,42,1,419,0,1,499000000,60,1
32844218,55,3,680,1,0,100000000,12,0
21331726,52,2,758,1,1,150000000,24,0
21495440,55,4,788,0,2,331000000,60,1
21279553,34,3,321,0,2,330000000,48,1
29267668,36,4,383,1,0,294000000,36,1
38402297,58,1,462,0,0,391000000,48,1
14950571,36,2,359,0,0,396000000,60,1
5442266,27,2,648,0,0,163000000,48,1
41535694,45,0,535,0,0,329000000,12,1
49791381,22,2,363,1,0,316000000,24,1
29931806,58,2,600,1,1,145000000,36,0
25750760,37,3,345,0,1,371000000,48,1
46721639,52,1,301,1,0,437000000,12,1
30050901,59,1,465,1,1,297000000,24,1
45664041,31,4,308,1,2,490000000,12,1
45307399,48,3,617,1,2,349000000,36,0
6081091,26,1,321,1,2,180000000,12,1
7755469,31,1,311,0,0,452000000,60,1
6832978,56,4,608,1,2,162000000,24,1
44681557,57,0,358,1,1,126000000,36,0
4946830,53,3,458,1,0,417000000,48,1
17064147,44,1,719,0,1,484000000,48,1
46279777,56,1,670,0,0,372000000,36,1
31175911,41,0,819,1,1,239000000,24,0
14360589,22,4,617,0,0,306000000,12,1
9491878,26,0,327,0,0,43000000,12,1
28227191,56,4,602,0,1,320000000,24,1
6257181,21,4,575,1,0,15000000,48,0
11705956,57,3,464,1,2,254000000,48,1
15617619,34,1,810,0,1,173000000,12,1
37941412,25,0,505,1,0,455000000,36,1
48658328,49,0,338,1,2,98000000,24,0
7273445,40,4,607,1,1,468000000,24,1
6122951,49,4,794,0,1,162000000,24,1
11121757,38,0,837,1,0,135000000,36,1
11704813,24,0,300,0,1,86000000,60,1
23717501,48,1,460,1,0,144000000,60,0
20498600,31,3,680,1,1,276000000,24,0
7031464,43,2,664,1,1,196000000,12,0
25371392,32,1,442,1,0,321000000,12,1
32718818,58,1,566,1,1,80000000,24,0
4912584,23,4,627,1,1,173000000,60,1
25315019,25,1,603,1,2,88000000,24,0
27091050,41,2,635,1,2,132000000,36,0
44464131,41,4,769,0,1,481000000,48,1
18560243,47,4,455,1,1,478000000,24,1
37253388,24,1,644,1,2,246000000,48,0
43967052,51,0,744,0,1,245000000,12,1
49704300,33,4,519,0,0,97000000,24,1
9002296,28,0,453,0,1,464000000,36,1
10667857,39,3,738,1,2,478000000,36,0
20789600,41,0,731,1,2,464000000,36,0
4206861,33,4,740,1,1,110000000,36,1
20034897,23,1,673,1,0,294000000,36,1
17578363,39,3,517,1,2,102000000,48,0
18315296,56,2,372,1,2,406000000,12,1
24088012,22,3,816,0,0,95000000,24,1
19035897,23,1,471,1,0,458000000,48,1
48708729,56,4,776,1,0,200000000,24,0
42970870,36,3,699,1,2,229000000,60,0
26255666,25,3,547,1,0,204000000,60,0
33267797,38,0,759,1,1,276000000,48,0
6270209,41,1,748,1,1,315000000,24,0
3233782,26,2,705,1,1,290000000,60,0
7952075,58,1,728,1,1,419000000,36,0
36518515,34,0,698,1,1,128000000,24,0
21029773,40,1,565,1,0,453000000,12,1
14540237,21,4,735,1,0,327000000,12,1
27362375,41,1,836,0,0,217000000,48,1
48624927,48,4,842,1,1,124000000,48,0
4428127,49,2,553,1,2,121000000,36,1
21392993,30,0,681,1,0,305000000,12,0
9976610,41,0,455,1,2,231000000,48,1
38174147,59,0,400,1,0,136000000,48,0
26912113,57,3,782,1,1,338000000,60,0
48944452,22,2,704,0,2,357000000,24,1
12426807,59,4,364,1,1,23000000,60,0
12091044,52,3,764,0,2,345000000,60,1
21608310,46,3,845,1,1,438000000,36,0
19541107,49,1,320,1,0,350000000,12,1
25897064,21,1,328,0,1,170000000,48,1
16331233,28,2,499,0,0,291000000,60,1
16137311,21,4,307,0,0,397000000,12,1
40609879,55,0,447,1,1,378000000,48,0
41777230,39,2,839,1,1,427000000,60,0
29683911,30,3,636,0,0,438000000,24,1
47786626,56,3,468,1,2,185000000,24,0
4003171,32,2,787,0,0,359000000,48,1
46561742,37,1,482,0,2,220000000,48,1
34927921,42,3,713,1,2,56000000,12,0
23000738,52,0,532,1,0,26000000,60,0
44835879,27,3,502,1,1,476000000,12,1
42501580,38,1,840,1,2,392000000,36,0
33779669,57,4,652,1,2,459000000,36,0
3029725,59,3,666,1,0,155000000,24,1
34512427,25,2,748,0,2,118000000,24,0
38261449,41,2,365,1,0,171000000,48,0
21458857,46,1,311,1,1,361000000,60,1
29906511,51,2,400,0,2,321000000,48,1
6868452,58,4,704,0,1,458000000,48,1
46281526,27,3,520,1,0,348000000,24,0
28464695,44,1,458,0,2,54000000,36,1
29256492,32,1,416,1,2,285000000,60,0
3290998,53,1,412,1,2,76000000,36,1
14031669,53,0,497,1,2,266000000,48,1
43253576,46,4,804,1,1,367000000,36,0
39793968,50,4,725,1,1,13000000,60,0
27774704,41,1,560,1,1,351000000,24,1
49206264,56,0,481,0,0,10000000,48,1
17987811,41,3,713,0,2,115000000,48,0
29133385,36,1,504,0,0,488000000,48,1
3658003,38,1,740,1,1,160000000,36,0
42549566,35,1,502,1,2,35000000,60,0
30758455,34,0,464,1,1,90000000,36,0
18851428,44,0,670,1,0,254000000,12,0
8403252,24,1,626,1,0,105000000,60,0
20456057,59,0,828,1,1,362000000,24,0
43907604,25,1,321,1,1,424000000,24,1
33224818,59,3,643,1,1,247000000,36,0
24825215,52,4,831,1,1,22000000,60,0
26063155,48,2,680,1,1,8000000,24,0
27217665,45,2,343,1,2,458000000,48,1
32018490,39,4,606,0,1,408000000,48,1
49457316,41,0,537,1,1,316000000,48,0
45023297,27,2,558,1,2,471000000,12,1
12163766,28,4,559,1,1,363000000,36,1
31898827,31,0,408,1,0,435000000,60,1
32754469,51,2,546,0,0,261000000,36,1
5592536,40,1,681,1,2,273000000,48,0
31190067,58,1,510,1,0,418000000,24,1
29371947,29,4,525,1,1,214000000,60,0
41888665,53,4,845,1,2,289000000,24,0
40043861,37,4,588,0,1,327000000,36,1
33671003,59,0,423,1,2,130000000,36,0
39230949,35,4,526,1,0,125000000,48,0
4888806,29,2,506,0,0,201000000,36,1
9934106,54,3,800,1,2,167000000,36,1
49276888,44,1,382,1,2,22000000,36,0
13228691,27,0,674,1,2,326000000,60,0
14959207,37,0,619,1,0,325000000,36,1
35648168,34,0,367,1,1,188000000,60,0
10204776,36,4,361,1,1,237000000,36,1
36976813,41,4,624,0,0,430000000,48,1
3460796,29,4,623,1,1,22000000,12,1
32851990,32,3,473,1,0,395000000,24,1
48562388,58,3,804,1,2,58000000,48,0
43850837,32,4,791,1,1,425000000,12,0
42101526,58,0,561,0,2,120000000,24,1
16838428,55,2,731,0,0,76000000,60,0
35916781,28,2,703,0,1,382000000,60,0
29507881,29,4,828,0,2,25000000,12,0
18226559,31,2,632,1,0,89000000,48,0
34175239,28,4,408,1,0,321000000,24,1
40358841,25,0,473,0,0,346000000,12,1
31751505,22,3,719,1,2,418000000,48,0
44645168,53,3,677,1,0,291000000,24,0
32184104,30,1,565,1,2,169000000,12,1
25432851,26,2,813,1,2,150000000,24,0
3684029,32,2,534,1,0,109000000,24,1
47768534,44,0,593,1,1,442000000,24,0
44902454,29,4,329,1,1,44000000,36,0
7902059,35,0,362,0,2,358000000,24,1
13569315,53,1,739,0,2,80000000,60,0
12137344,40,2,501,1,2,394000000,36,0
35254832,58,4,691,1,1,344000000,48,0
17067121,25,2,374,0,1,172000000,36,1
19213225,26,2,424,1,1,26000000,60,0
14999401,57,2,386,1,1,334000000,12,1
33732364,37,4,577,1,0,446000000,12,1
26729530,43,2,653,0,2,229000000,12,1
26675262,41,3,438,1,2,177000000,48,0
31105186,33,1,438,0,0,475000000,48,1
32538040,44,1,464,1,0,436000000,60,1
41653586,47,4,566,1,2,168000000,60,0
13511846,48,4,483,0,1,153000000,48,1
44019538,46,3,527,0,0,274000000,36,1
37147064,37,2,381,1,2,67000000,48,0
36214626,29,3,636,1,2,270000000,36,0
47807180,51,1,779,1,1,424000000,36,0
43523561,41,3,493,1,2,373000000,12,1
29504354,39,1,563,1,2,14000000,36,0
28853976,57,0,848,0,0,313000000,12,1
12326243,55,1,403,1,1,338000000,48,1
18074661,31,2,487,1,1,31000000,60,0
44099621,36,1,674,1,1,220000000,24,0
48545655,51,3,589,0,2,237000000,36,0
25043878,59,0,532,0,0,449000000,36,1
33891320,45,0,482,1,1,344000000,24,1
36424949,40,1,313,1,1,316000000,60,0
27163349,50,3,504,1,1,118000000,24,0
22575137,31,0,740,0,1,146000000,24,1
19541989,37,1,689,0,0,360000000,60,1
6689024,39,0,727,1,1,77000000,36,0
18861936,26,3,720,0,2,282000000,12,1
5141912,30,4,534,1,0,127000000,48,1
21181571,45,0,832,1,2,87000000,60,0
5901092,59,3,654,1,1,45000000,36,0
26536507,27,0,312,1,0,180000000,24,1
7739400,58,2,399,1,0,159000000,24,1
41363911,27,3,573,1,1,90000000,48,0
46301351,21,3,832,0,2,184000000,12,1
6287093,30,4,343,0,1,68000000,60,1
42601943,22,0,697,1,0,482000000,12,1
7510579,44,4,470,1,1,86000000,24,1
10704694,48,0,403,0,2,328000000,60,1
35557230,50,0,720,0,0,399000000,12,1
22384838,32,2,672,1,2,23000000,36,0
37083146,28,0,803,1,1,122000000,48,0
33109596,49,1,525,1,2,261000000,48,0
23035161,29,4,733,1,1,348000000,36,0
47494022,46,0,693,1,2,99000000,60,0
3734275,51,3,790,1,2,187000000,48,1
22741160,46,0,304,1,0,317000000,12,1
35290830,52,4,421,1,0,111000000,24,0
39219181,33,2,817,1,0,219000000,48,0
48553994,33,1,822,1,1,472000000,48,0
47857903,46,0,631,0,0,195000000,36,1
49523237,38,1,689,0,2,465000000,36,1
49433552,36,1,546,1,1,442000000,48,0
24945770,59,0,486,1,1,97000000,60,0
34279524,30,3,811,1,2,45000000,60,0
42384827,22,2,454,0,2,89000000,60,1
49205667,29,2,845,1,0,52000000,12,0
21317940,50,2,658,1,1,166000000,60,0
9760403,47,1,623,1,0,291000000,24,1
37590323,43,1,614,0,0,450000000,24,1
35439573,54,4,555,1,2,230000000,36,0
8351826,27,1,704,1,2,440000000,48,0
9679155,49,0,667,1,2,145000000,48,0
24385690,24,1,570,1,0,152000000,36,0
20463484,56,1,835,1,2,72000000,12,0
8250295,43,4,553,1,0,5000000,60,0
32571637,26,4,690,0,0,236000000,48,0
9330034,42,3,337,1,2,180000000,60,1
4099577,50,4,836,0,2,248000000,12,1
45170229,56,4,609,1,0,29000000,36,0
19448425,30,2,461,1,0,85000000,36,0
13029840,24,3,410,1,0,263000000,12,1
41184664,56,0,788,1,1,315000000,36,0
33474646,59,4,612,0,2,227000000,60,0
47102213,26,3,607,0,0,332000000,12,1
44191606,21,0,773,0,1,73000000,36,0
5887757,53,1,614,1,1,204000000,12,1
23588882,21,4,582,1,0,376000000,36,1
37262607,30,0,394,1,2,290000000,36,0
39041543,27,2,478,0,0,214000000,48,1
45527050,25,2,439,1,0,243000000,12,1
28139317,53,1,788,1,0,314000000,24,0
30664038,24,0,440,1,2,36000000,36,0
34579612,40,4,637,1,0,457000000,24,1
38881161,37,1,817,1,1,243000000,60,0
20429971,47,0,503,0,2,350000000,24,1
15493007,22,3,465,1,2,414000000,36,1
28057299,47,0,447,1,2,105000000,24,0
5866069,23,2,372,1,1,275000000,36,1
19828923,22,4,751,1,1,323000000,24,0
45777914,42,2,547,1,1,241000000,60,0
48584684,24,0,436,1,0,415000000,48,0
36818669,52,0,669,1,1,402000000,48,0
38642494,45,3,666,0,0,59000000,12,0
47761947,37,2,676,1,1,387000000,60,0
28209588,43,3,346,0,0,388000000,60,1
24123873,31,4,613,1,1,333000000,24,1
38580542,39,3,742,0,1,101000000,24,0
17418934,47,2,793,1,0,353000000,36,1
16866352,48,0,848,1,2,345000000,24,0
13032315,58,1,719,1,2,268000000,48,0
3344126,42,2,484,0,1,16000000,60,1
25486851,48,0,302,1,1,150000000,12,1
13761556,49,4,320,1,2,280000000,48,1
41523843,25,0,495,1,2,69000000,24,0
38029052,44,0,610,0,2,339000000,60,0
48848553,59,0,512,1,1,234000000,60,0
30329173,25,1,386,1,2,377000000,36,1
8032661,29,4,538,1,0,421000000,48,1
38116950,37,4,749,1,1,205000000,12,0
37148989,52,1,798,0,1,46000000,48,0
41826657,29,1,839,1,2,252000000,36,0
31938651,44,2,808,1,0,236000000,12,1
41353225,21,4,653,1,1,328000000,24,0
35702702,33,0,544,0,0,280000000,24,1
24091596,25,1,604,1,1,38000000,60,0
11425021,37,2,836,1,2,265000000,60,0
7860319,46,3,443,0,0,158000000,12,1
4337768,27,4,638,1,0,37000000,36,1
17986157,50,0,531,0,1,292000000,48,1
40394279,56,3,415,1,0,329000000,24,1
23799477,35,3,520,1,0,311000000,36,1
48031629,24,2,421,1,2,23000000,36,0
25821211,51,3,781,1,2,213000000,12,0
21021576,57,4,779,1,0,67000000,60,0
46425835,49,2,391,0,1,149000000,12,1
17625666,41,1,789,1,1,40000000,24,0
40457340,33,2,353,1,2,264000000,60,0
15781149,50,3,599,1,0,368000000,24,1
30312498,46,1,617,1,1,294000000,12,0
9736549,23,4,428,1,0,304000000,60,1
5750025,59,4,506,1,2,470000000,48,1
41535371,53,3,691,0,2,65000000,60,0
41747810,35,4,419,1,1,236000000,36,0
10962366,49,4,529,0,2,274000000,60,1
8016239,47,3,598,1,2,248000000,60,1
33586530,51,4,758,1,2,138000000,36,0
12007611,55,1,732,1,2,379000000,36,0
6924482,36,4,424,1,0,302000000,60,1
23589226,22,1,575,1,2,233000000,36,0
42307803,25,2,412,1,1,405000000,36,1
23215996,38,2,770,1,0,238000000,12,1
26612248,30,2,363,1,0,238000000,48,0
9876913,37,4,729,0,1,129000000,12,1
4949902,32,3,521,1,1,120000000,60,1
46410212,58,1,737,1,2,228000000,48,0
9271271,46,0,639,1,1,151000000,36,0
18555628,47,4,514,0,2,5000000,36,0
31951785,37,0,563,1,0,272000000,48,0
31317302,32,0,363,1,0,370000000,36,1
45812486,54,2,575,0,1,326000000,48,0
21583426,57,0,595,0,2,212000000,36,1
13773383,49,3,338,1,0,230000000,48,1
35697859,51,1,465,1,2,96000000,24,0
18249418,48,4,491,1,1,269000000,36,1
13172219,43,0,364,1,2,93000000,12,1
5873524,54,0,388,1,2,121000000,12,1
8907726,35,4,331,1,1,306000000,60,1
34209167,29,3,727,1,2,476000000,24,0
6714755,45,4,528,1,0,345000000,48,1
20696350,24,3,371,1,2,74000000,48,0
48143490,48,2,536,1,1,451000000,60,0
40625927,26,2,686,1,0,453000000,60,0
16950653,45,0,586,0,1,99000000,48,0
31052393,40,3,636,0,0,238000000,60,1
10539769,28,1,408,1,2,490000000,36,1
30639012,48,0,571,1,1,241000000,12,1
19423519,49,1,470,0,0,200000000,12,1
27713843,35,0,479,1,2,220000000,48,0
42651128,29,0,343,0,1,393000000,12,1
28118176,34,0,371,1,0,480000000,24,1
6305610,59,2,572,0,1,230000000,60,1
34223190,26,1,792,1,1,381000000,12,0
8728394,44,0,448,1,2,183000000,36,1
18214586,37,2,483,1,1,314000000,60,1
23151875,42,1,476,0,1,351000000,48,1
16405288,56,3,793,1,2,79000000,36,0
49663593,38,0,746,1,1,235000000,48,0
27113518,36,3,586,0,1,321000000,12,1
11132162,44,1,372,1,1,229000000,36,1
26286978,47,0,570,1,0,170000000,48,0
44175390,40,3,770,0,2,464000000,12,1
14685762,41,0,732,1,0,477000000,60,1
31756261,35,1,549,0,2,257000000,12,1
33958456,25,0,411,0,2,149000000,36,1
39425691,55,2,541,1,0,360000000,36,0
48975556,57,2,536,1,0,293000000,36,0
22291584,50,2,407,0,1,174000000,36,1
6503548,48,1,756,0,1,246000000,24,1
28298483,45,3,738,0,0,494000000,12,1
8422569,41,0,321,1,0,193000000,12,1
28487961,33,0,465,1,1,167000000,36,0
28732334,28,4,808,1,0,115000000,60,0
7858939,26,4,706,1,1,271000000,60,1
24340869,38,3,548,1,0,430000000,48,1
17692370,55,0,718,1,2,126000000,24,0
12324391,44,4,680,1,2,379000000,12,0
3122019,33,1,427,1,2,92000000,48,1
7290447,24,4,583,1,1,249000000,36,1
13425111,35,2,458,1,0,376000000,48,1
47729321,36,2,757,1,1,230000000,60,0
30504225,43,4,649,1,1,486000000,48,0
40841814,26,1,445,0,1,65000000,12,1
48278419,26,2,746,0,2,382000000,12,1
22457475,37,0,715,1,1,286000000,12,0
11796015,31,4,814,1,2,368000000,12,0
35717050,29,1,382,1,0,250000000,48,0
48807896,48,1,536,1,2,36000000,24,0
28781240,50,0,324,1,1,334000000,36,1
11701524,41,4,802,0,1,124000000,48,1
24652433,31,0,829,1,2,362000000,12,0
44050542,32,3,632,1,1,194000000,24,0
30117850,35,3,311,1,2,244000000,60,0
43322851,41,4,389,0,1,380000000,48,1
37363791,34,1,370,0,0,293000000,60,1
19953571,39,4,320,1,2,158000000,48,0
13949445,56,1,523,1,0,337000000,48,1
43404754,43,1,726,1,0,412000000,48,0
4770403,29,2,849,0,2,179000000,12,1
30346769,25,3,577,1,0,497000000,24,1
33186120,51,3,446,0,2,152000000,36,1
31890300,51,2,480,1,2,160000000,24,0
12275707,44,0,443,1,2,260000000,36,1
20929098,41,3,626,0,1,20000000,12,1
35589147,52,0,480,1,1,445000000,48,0
7102553,31,1,470,1,2,324000000,36,1
5112368,22,0,615,0,1,84000000,12,1
49994185,53,4,660,1,2,262000000,60,0
27465875,47,0,635,1,1,409000000,24,0
8954632,32,1,500,1,0,41000000,48,0
22427648,56,2,685,1,1,103000000,60,0
44450835,59,4,427,1,1,83000000,48,0
37741269,34,4,655,1,0,380000000,48,0
16187365,23,4,422,0,0,163000000,60,1
23901606,51,3,636,1,1,15000000,48,0
35404789,54,4,408,1,2,451000000,36,1
5469930,53,4,586,1,2,104000000,60,1
16936930,25,0,625,1,2,26000000,24,0
32969114,45,0,643,1,1,287000000,36,0
48909954,21,1,736,1,0,494000000,60,0
14765788,53,2,487,0,2,298000000,48,1
17912584,59,3,542,1,1,402000000,60,1
10845772,42,3,351,1,0,434000000,36,1
5361331,28,1,325,0,0,182000000,12,1
46602130,59,2,506,1,1,211000000,24,0
48825546,58,1,726,0,1,14000000,48,0
21309033,48,0,531,1,1,85000000,36,0
13463128,32,1,720,0,0,435000000,12,1
29381877,24,2,779,1,1,250000000,36,0
18448040,43,4,797,1,2,415000000,24,0
28476259,34,2,647,1,1,454000000,48,0
27787022,45,2,657,1,2,292000000,48,0
12698623,43,0,789,1,0,346000000,12,0
40221001,27,4,605,1,0,12000000,48,0
30534241,24,0,726,1,0,185000000,24,0
33506503,44,2,591,1,2,234000000,36,0
36223032,38,3,807,1,2,118000000,36,0
11288515,57,0,603,1,2,15000000,48,0
13781973,31,1,407,1,1,249000000,60,1
31416252,21,1,389,0,1,448000000,36,1
13824286,57,0,332,0,1,99000000,12,1
11103670,49,0,416,1,2,30000000,48,0
27529154,27,2,721,0,0,371000000,36,1
18678986,24,2,495,1,0,297000000,24,1
30740293,45,0,384,1,2,181000000,48,0
5795126,29,1,728,1,0,453000000,60,1
36399263,30,2,422,0,2,336000000,60,1
21361861,32,4,648,1,2,302000000,48,0
34499954,41,2,435,1,0,18000000,12,0
31630348,27,1,724,1,0,93000000,48,0
39382186,36,0,605,0,0,204000000,24,1
40293901,56,0,470,1,0,322000000,12,1
33663820,34,3,614,0,0,243000000,36,1
4488543,29,3,780,0,0,427000000,36,1
15838405,36,4,568,0,1,209000000,24,1
3231414,32,4,413,1,2,144000000,36,1
30039028,46,4,727,1,0,153000000,36,0
41727318,39,1,375,1,2,359000000,48,0
33271740,57,1,426,1,1,124000000,48,0
46883023,48,2,743,1,2,324000000,60,0
14038804,45,0,364,1,2,194000000,36,1
49794079,50,4,790,1,2,161000000,60,0
31332950,47,4,765,0,2,113000000,36,0
8982547,47,2,544,1,2,308000000,24,1
26641900,33,0,642,1,1,194000000,48,0
49712769,45,1,797,1,2,158000000,60,0
38739564,31,1,467,0,0,420000000,12,1
5928785,44,4,334,1,0,101000000,12,1
45814945,45,1,520,1,2,484000000,36,0
41268818,53,1,738,1,0,241000000,60,0
22863161,26,0,347,0,2,206000000,24,1
49684915,38,3,680,1,2,58000000,12,0
49720387,37,2,368,1,2,168000000,24,0
17260995,30,4,394,0,2,216000000,12,1
6991818,55,4,808,0,0,219000000,60,1
37533367,29,3,498,1,2,441000000,60,1
30962573,46,2,496,1,0,120000000,24,0
35603318,37,4,429,1,1,327000000,48,0
22138117,23,1,398,1,1,276000000,60,0
32268923,39,0,623,1,2,70000000,12,0
7052579,27,2,604,0,2,79000000,36,1
